Unnamed: 0,MSOA,18over1st_dose,18over2nd_dose,pop0_17,pop18over,vaccination_percentage_1stdose,vaccination_percentage_2nddose,vaccination_percentage_total,MSOA Code,pct_pop_18_29,pct_pop_30_39,pct_pop_40_49,pct_pop_50_59,pct_pop_60_69,pct_pop_70_80,pct_pop_80_over,MSOA code,average_household_income,IMD19 SCORE,msoa_imd_decile,pct_White,pct_Mixed,pct_Asian,pct_black,pct_other,pct_hh_car,msoa_quintile,MSOA11CD,income_score,employ_score,edu_score,health_score,crime_score,housing_score,livEnv_score,E2sfca_30_min_supply_value
0,E02002796,4810,4712,1261,4716,1.0,0.9991518235793044,1.0,E02002796,0.0160555954948478,0.120057512580877,0.1804457225017972,0.2132758207524562,0.1744548286604361,0.1907500599089384,0.104960460100647,E02002796,56400.0,5.602135688,10,0.9553,0.009,0.0259,0.0033,0.0065,0.878529981,5,E02002796,0.0410153516011885,0.0466361835589303,3.737021624298448,-0.3261061406404754,-1.0540574447012214,15.35541135688346,6.303628260151865,6.439563068925276e-05
1,E02002797,5906,5796,1231,6025,0.9802489626556016,0.9619917012448131,0.9711203319502074,E02002797,0.0135772204412596,0.1114463511220064,0.1512351499151423,0.1938525363002074,0.1685838204789741,0.186875353573449,0.1744295681689609,E02002797,50900.0,4.449545968,10,0.9573,0.0096,0.0199,0.0089,0.0043,0.834470484,5,E02002797,0.0341442204301075,0.0387135752688172,3.054452553763441,-0.3623969086021505,-1.1456534946236558,13.88771438172043,8.154823252688171,5.664697450123878e-05
2,E02002798,7919,7730,1764,7891,1.0,0.9795970092510456,0.9915726777341276,E02002798,0.0128466238445871,0.1677894407018643,0.1834560551464828,0.2570891430361899,0.1950493498355005,0.1200062666457778,0.0637631207895973,E02002798,56000.0,5.938420861,10,0.94,0.0159,0.0313,0.0104,0.0025,0.92285646,5,E02002798,0.0389921315444365,0.0371632200141228,7.137919096136388,-0.183236053666902,-1.251879350348028,18.122872793301724,5.535991021890448,4.493541413183496e-05
3,E02002799,4234,4036,1558,4435,0.9546786922209696,0.9100338218714767,0.9323562570462232,E02002799,0.0198300283286118,0.2277620396600566,0.2062322946175637,0.2331444759206798,0.141643059490085,0.1036827195467422,0.0677053824362606,E02002799,33700.0,28.25632289,3,0.9398,0.0274,0.0132,0.0164,0.0033,0.701754386,2,E02002799,0.1671341422312099,0.1229464105156724,47.198656049882025,0.7119502864846646,-0.1033818672059319,21.57851937984496,14.310382372767108,5.62736353884243e-05
4,E02002800,5209,5057,1406,5554,0.9378826071299964,0.9105149441843716,0.924198775657184,E02002800,0.01353416284654,0.1597904387688277,0.197773411918795,0.2106526959179218,0.1536782361929709,0.1508404278541803,0.113730626500764,E02002800,50000.0,11.19314401,8,0.9438,0.0184,0.0245,0.0094,0.0039,0.77869898,4,E02002800,0.0705357935627081,0.0545979467258601,2.8442627635960043,-0.0220363485016648,0.1018872086570477,17.28391245837958,20.42945754716981,6.709448343646166e-05
5,E02002801,5543,5361,1682,5707,0.9712633607850008,0.9393727001927458,0.9553180304888732,E02002801,0.0165886856656741,0.1743938749468311,0.169715014887282,0.2258613356018715,0.1573798383666524,0.1454700127605274,0.1105912377711612,E02002801,36400.0,21.32337926,5,0.9608,0.0168,0.0096,0.0105,0.0022,0.760443038,3,E02002801,0.1246335044084747,0.1003651796288985,36.9970846163969,0.4033174101855507,-0.4085386235030924,11.69098605079616,22.112489011712068,5.549157454689063e-05
6,E02002802,5185,4906,2199,5652,0.917374380750177,0.8680113234253362,0.8926928520877565,E02002802,0.0236167341430499,0.2357174988753936,0.197480881691408,0.224021592442645,0.1590193432298695,0.0960413855150697,0.0641025641025641,E02002802,28500.0,48.01028977,1,0.9368,0.0228,0.0195,0.0165,0.0044,0.572174447,1,E02002802,0.2903914289273701,0.1984314189610066,67.94397608072754,1.210002989909057,0.3587543291391554,18.21265167559487,25.90704410115859,6.474294094720309e-05
7,E02002803,6166,5656,939,7671,0.8038065441272324,0.7373223830009126,0.7705644635640725,E02002803,0.0359783144406111,0.2550517496303597,0.208723509117792,0.1946771808772794,0.15352390340069,0.0988171513060621,0.0532281912272055,E02002803,33800.0,29.90665953,3,0.8788,0.0305,0.042,0.0288,0.0198,0.579610538,2,E02002803,0.1558674218847255,0.1109839412423752,25.418240881364376,1.1598282086393623,0.5140227810282584,26.114130959790863,27.52795207270012,6.904877442750594e-05
8,E02002804,6035,5752,2288,6429,0.93871519676466,0.8946959091616115,0.9167055529631358,E02002804,0.0186806771745475,0.2183304144775248,0.1764934812220276,0.2177466433158202,0.1570344424985405,0.1148083284685736,0.0969060128429655,E02002804,33100.0,29.14998956,3,0.9451,0.0204,0.0135,0.0177,0.0033,0.686093124,2,E02002804,0.1609237569060773,0.1326596685082872,44.07197974217311,0.7261621853898097,0.0875282995702885,20.96639238796808,19.83579496623696,5.909962834940659e-05
9,E02002805,4471,4380,929,4496,0.9944395017793596,0.9741992882562278,0.9843193950177936,E02002805,0.0125250501002004,0.1247494989979959,0.1485470941883767,0.2061623246492986,0.1720941883767535,0.2129258517034068,0.1229959919839679,E02002805,41900.0,6.749331635,10,0.979,0.0084,0.0074,0.0039,0.0014,0.837669903,5,E02002805,0.0488398032671702,0.0502866678376954,6.353445283681715,-0.11326348146847,-1.0620976637976465,9.27626734586334,11.339353065167751,5.917265418274772e-05
